imagen,error_traslacion,error_rotacion,error_rotacion_x_traslacion
imagen_0,9.769784572554281,0.003749317243833593,16.465307882233567
imagen_1,0.5360661259709864,0.0013645260369307768,2.2110397313388677
imagen_2,3.9165962176933995,0.002591129397429566,7.1251076975880165
imagen_3,1.6235564607744317,0.0016350402955984799,3.5329838384358876
imagen_4,0.6569574715835711,0.0017631682368562107,4.7978132283652775
imagen_5,2.9391443943155715,0.0022858137136672024,7.209673031864986
imagen_6,2.3607995712255985,0.0019117590043927568,4.543835780782205
imagen_7,2.9150923169380114,0.0021155875887314984,6.456843500347982
imagen_8,0.2971271041562587,0.0020452066083561375,3.2201509364940883
imagen_9,0.7341054332048307,0.0026262499720363986,6.92276899654307
imagen_10,1.1020237156316943,0.020423358743848746,66.04392405775114
imagen_11,1.1382939286236764,0.003125327625370972,5.459799950837705
imagen_12,0.3191198308226498,0.004135903630640149,6.686588661081179
imagen_13,0.1788975144728349,0.0024267344360857563,2.248416795919365
imagen_14,0.5751783608111641,0.021747163177436073,67.58440211135519
imagen_15,0.9250883509799979,0.0018757666081666506,3.791358343942121
imagen_16,2.291956384182729,0.001514311802391598,5.221543097395312
imagen_17,2.140104516263828,0.0023130580070003406,7.592933317072093
imagen_18,2.28160510027171,0.003378649298245778,8.205137369440644
imagen_19,1.9720824986203818,0.0017020775935688522,5.696678551741507
imagen_20,3.5463390379560473,0.025252981207008803,55.150925332026425
imagen_21,1.0538301938628007,0.0018398496210530761,3.8248360850273198
imagen_22,1.1777495067601256,0.0017236068318365442,2.979370169035384
imagen_23,3.2766912985677,0.001702660580629847,6.066844522847201
imagen_24,0.099892128053535,0.0012516014680757272,1.9787099045086045
imagen_25,1.0493307717163372,0.0006391147417242269,2.420607074634615
imagen_26,3.074096465453755,0.0040581212826000055,10.774304115365767
imagen_27,1.7711374862124705,0.00588663406319347,9.838137466994045
imagen_28,1.3126381597284569,0.0019108773008926867,2.4696574705545267
imagen_29,0.23790064806581288,0.004862521658041546,8.751235309460315
imagen_30,2.6350274598582284,0.003612775508831112,12.007738627077407
imagen_31,0.5473196017073428,0.0021664179390735727,4.39154129063111
imagen_32,-1,-1,-1
imagen_33,0.7020472567928115,0.002452761999334929,2.6949495119259916
imagen_34,0.6365460320426781,0.0018183790377525298,3.004309732255858
imagen_35,3.284577799135538,0.0022584909549759643,7.084406707596138
imagen_36,0.2772697772914169,0.002294511883502927,4.303470679335215
imagen_37,2.1280673348837302,0.00096223290218463,3.069375375661118
imagen_38,0.7555964798439025,0.0010282409021361797,3.3196690844638654
imagen_39,0.914364029061506,0.0023565283859262936,3.662943772834309
imagen_40,2.13154801970183,0.0027523172049925275,5.610699467351845
imagen_41,0.8780556597043286,0.01104474180918388,30.998338744942227
imagen_42,2.033606240390959,0.008608824934392679,15.103312641506593
imagen_43,1.3765564580737764,0.002813593581726887,6.796286129472813
imagen_44,17.29372021526078,0.021446929179526196,34.51612608863818
imagen_45,0.6919030125975398,0.004296256328538658,13.91398614211612
imagen_46,1.2633462357938259,0.0033182990396594778,4.3927595081881705
imagen_47,1.241642283794557,0.0056371463952910065,9.541702885440746
imagen_48,-1,-1,-1
imagen_49,2.014146030316229,0.0037439988412265287,13.069993231806347
imagen_50,2.037420512547974,0.0022157727775219435,5.249619392060076
imagen_51,2.3533717912388705,0.0023205144717071175,4.911706372150257
imagen_52,0.8705426617035449,0.001598493026605165,3.8042152033351573
imagen_53,0.6326967314860147,0.0008139397291156704,1.3794050069046486
imagen_54,2.094164066835941,0.001931971120444837,5.122999256320131
imagen_55,0.7195740682196142,0.002964017994139956,7.134693474316834
imagen_56,2.123733467153815,0.00266983741357288,6.080345333166407
imagen_57,0.8504242084262267,0.003014397575025782,5.280316460407895
imagen_58,0.7818235425648853,0.0010425405483283586,3.296246309443421
imagen_59,1.1794845168754513,0.002455234933500485,5.440914926466168
imagen_60,2.5451195766748396,0.0038189345901315703,10.770425897619111
imagen_61,0.165662147723484,0.0030199775214103572,10.276540067716827
imagen_62,2.3544254013194243,0.0020101077913432155,5.461899643928433
imagen_63,0.9399937232504356,0.0022724758399281357,5.280152709317368
imagen_64,1.4975637713483714,0.005651165658378567,13.981538061764205
imagen_65,0.07499280118960672,0.0016260520019688851,3.1926359346169435
imagen_66,1.288698748286855,0.0009926789243015267,1.754045049912549
imagen_67,3.043134107849989,0.0027759999069957436,9.11935091113296
imagen_68,1.4950648821593184,0.007558028849585685,23.723643301859838
imagen_69,2.0043984556499597,0.0016682615083740855,3.6542756600471997
imagen_70,1.630969373612259,0.003198410910725235,5.592279805089575
imagen_71,0.09495375198596412,0.003196452662158572,7.883714607745207
imagen_72,0.3082439982879833,0.0024742483119148213,3.4391535912545494
imagen_73,0.9402697139111396,0.0032524179901580186,5.898236692506536
imagen_74,1.397237584851523,0.0033254578061545728,8.7719233621473
imagen_75,1.49874942082167,0.0009595585324532115,2.8108859260348065
imagen_76,1.474010158983698,0.003298295367008701,7.507883954931554
imagen_77,1.8197754278169578,0.0020945043212937326,4.735031003472552
imagen_78,1.2388430433140074,0.001514040437549176,2.452620886877362
imagen_79,-1,-1,-1
imagen_80,3.6012102690843815,0.006870664967131636,23.662499196315267
imagen_81,0.2344468720056279,0.000763492297176113,1.9482597247650988
imagen_82,1.0550680688102592,0.006983944398987655,20.253296106247813
imagen_83,1.9514771221146547,0.001141597921063866,3.1515581130810637
imagen_84,1.9281880159695526,0.0045232258148521255,14.93873949361953
imagen_85,0.1994143894545981,0.0006248929059898472,1.8369274312221655
imagen_86,0.9713045829483096,0.007307114581724416,18.095995666040853
imagen_87,3.004624317486884,0.0014654520588684688,4.456586191663212
imagen_88,0.37238535743447415,0.002759186910692946,8.960269241426445
